Site,Dist,Site name,Start,End,Lat,Lon,Source,STA,Height (m),Bar_ht,WMO
068189,68,WOODHILL (BLUFF VIEW),1970,1970,-34.7333,150.6667,.....,NS,365.8,..,..
068190,68,WATTAMOLLA (TAMOL),1970,2018,-34.7371,150.6236,GPS,NS,130,..,..
068191,68,BARRALLIER (BELL BIRD),1971,1973,-34.3,150.0667,.....,NS,243.8,..,..
068192,68,CAMDEN AIRPORT AWS,1943,..,-34.039,150.689,GPS,NS,73.9,74.6,94755
068193,68,BARGO POST OFFICE,1902,1970,-34.2833,150.5833,.....,NS,342,..,..
068194,68,NATTAI RIVER,1940,1952,-34.1,150.4,.....,NS,243.8,..,..
068195,68,MOSS VALE (TOROKINA),1971,2009,-34.6368,150.4026,GPS,NS,568,..,..
068196,68,BELLAWONGARAH,1903,1919,-34.7667,150.6333,.....,NS,..,..,..
068197,68,FOXGROUND ROAD,1972,..,-34.7376,150.7674,GPS,NS,50,..,..
068198,68,WOLLONDILLY (BOW'NS HILL),1973,1987,-34.35,150.0833,.....,NS,244,..,..
068199,68,OAK FLATS (THE BOULEVARDE),1974,2005,-34.556,150.8162,GPS,NS,4,..,..
068200,68,DOUGLAS PARK ( ST. MARYS TOWERS),1974,..,-34.2075,150.7095,GPS,NS,165,..,..
068201,68,GOONDARIAN CREEK (MOUNT KEMBLA),1908,1922,-34.4333,150.8167,.....,NS,..,..,..
068202,68,ROBERTSON (PEARSONS LANE),1997,..,-34.6033,150.5487,GPS,NS,755,..,..
068203,68,SASSAFRAS (ETTREMA),1962,1992,-35.085,150.23,.....,NS,760,..,..
068204,68,SUSSEX INLET BOWLING CLUB,1952,2016,-35.1702,150.5908,GPS,NS,6,..,..
068205,68,ST GEORGES BASIN MO,1944,1945,-35.1167,150.6,.....,NS,..,5.2,..
068206,68,WOLLONDILLY R (PADDYS RVR JUNCTIO,1975,1986,-34.6,150.0833,.....,NS,550,..,..
068207,68,COBBITY (ROSENEATH),1888,1974,-34.0167,150.6833,.....,NS,95,..,..
068208,68,WERONBI POST OFFICE,1954,1975,-33.9833,150.5833,.....,NS,228.9,..,..
068209,68,JAMBEROO  (DRUEWALLA),1963,2016,-34.6557,150.7293,GPS,NS,115,..,..
068210,68,COOLANGATTA,1891,1910,-34.8667,150.7167,.....,NS,10,..,..
068211,68,CORDEAUX DAM (CORDEAUX RIVER),1920,..,-34.3383,150.745,.....,NS,300,..,..
068212,68,NEPEAN DAM (NEPEAN RIVER),1931,..,-34.3383,150.6133,.....,NS,350,..,..
068213,68,NOWRA BOAT SHED (SHOALHAVEN RIVER,1860,..,-34.8667,150.605,.....,NS,0.1,..,..
068214,68,CAMDEN BRIDGE (NEPEAN RIVER),1860,..,-34.0567,150.705,.....,NS,..,..,..
068215,68,GREENSTEAD (WINGECARRIBEE RIVER),1954,..,-34.4167,150.1967,.....,NS,..,..,..
068216,68,MENANGLE BRIDGE (NEPEAN RIVER),1963,..,-34.1194,150.7402,GPS,NS,..,..,..
068217,68,BARRENGARRY (THE OLD SCHOOL HOUSE,1982,..,-34.6866,150.5253,GPS,NS,105,..,..
068218,68,WATTAMOLLA (GRIFFITHS),1982,..,-34.7208,150.6491,GPS,NS,140,..,..
068219,68,WOLLONGONG (APPIN),1982,..,-34.2625,150.8752,GPS,NS,449,..,99086
068220,68,MINTO (ALDERNEY STREET),1984,1996,-34.0411,150.8458,.....,NS,90,..,..
